Td		ID		Tj		Df		Dd		Db

176		2280		146		0		30		30

176		274		142		0		34		34

176		268		140		0		36		36

177		335		156		1		20		21

178		2182		92		12		74		86

178		328		155		1		22		23

179		2141		79		0		100		100

179		296		151		0		28		28

179		285		146		0		33		33

180		2283		146		0		34		34

180		2288		148		0		32		32

180		2159		82		0		98		98

180		273		140		0		40		40

181		339		160		1		20		21

182		2258		131		0		51		51

182		2210		115		0		67		67

182		319		154		1		27		28

182		302		152		1		29		30

182		289		148		0		34		34

182		253		131		0		51		51

183		2207		107		0		76		76

183		297		151		0		32		32

183		206		107		0		76		76

184		324		155		1		28		29

184		166		86		0		98		98

185		2367		180		0		5		5

185		2366		180		0		5		5

185		2369		180		0		5		5

185		282		146		1		38		39

185		137		78		0		107		107

185		155		82		0		103		103

185		157		82		0		103		103

186		2368		180		0		6		6

187		2294		151		0		36		36

187		353		166		1		20		21

187		354		166		1		20		21

187		365		180		0		7		7

187		357		166		2		19		21

189		136		78		0		111		111

190		344		161		1		28		29

191		2137		78		0		113		113

191		2174		87		0		104		104

191		376		186		0		5		5

192		2372		186		0		6		6

192		2377		186		0		6		6

192		2374		186		0		6		6

192		362		179		1		12		13

193		2133		78		13		102		115

193		363		179		2		12		14

193		366		180		1		12		13

194		2297		151		1		42		43

194		370		180		1		13		14

195		2200		99		0		96		96

195		2276		142		0		53		53

196		374		186		0		10		10

196		247		130		0		66		66

197		377		186		0		11		11

198		2324		155		2		41		43

198		2382		192		0		6		6

198		114		74		0		124		124

199		2296		151		1		47		48

199		2318		154		1		44		45

199		2299		151		1		47		48

199		2381		192		0		7		7

199		375		186		0		13		13

200		2311		153		1		46		47

200		2325		155		2		43		45

200		2383		192		0		8		8

200		2389		193		0		7		7

200		391		193		0		7		7

200		392		193		0		7		7

201		2385		193		0		8		8

201		212		115		0		86		86

203		2394		195		0		8		8

204		2322		155		2		47		49

204		2379		192		0		12		12

205		2306		152		1		52		53

205		2391		193		0		12		12

