Td		ID		Tj		Df		Dd		Db
193		2374		189		0		4		4

194		2273		129		0		65		65

194		2372		189		0		5		5

195		2147		68		3		124		127

195		2193		86		0		109		109

196		193		86		5		105		110

196		254		118		7		71		78

197		2202		88		0		109		109

197		2170		79		0		118		118

197		2377		189		0		8		8

199		2373		189		0		10		10

200		2129		63		2		135		137

201		2246		109		15		77		92

201		2379		196		0		5		5

201		2382		196		0		5		5

202		2245		109		5		88		93

203		2381		196		0		7		7

203		2388		200		0		3		3

205		2205		89		5		111		116

205		2392		201		0		4		4

206		2398		201		0		5		5

206		374		189		1		16		17

207		2391		200		0		7		7

207		2284		140		0		67		67

207		2333		165		0		42		42

207		2254		118		0		89		89

207		102		55		3		149		152

207		377		189		0		18		18

208		2260		125		0		83		83

209		2271		126		0		83		83

209		2358		183		20		6		26

210		2192		86		0		124		124

210		2203		89		0		121		121

211		2157		76		3		132		135

211		2209		89		5		117		122

211		2292		144		0		67		67

211		2159		76		0		135		135

212		2315		157		0		55		55

212		2311		155		22		35		57

212		2345		171		0		41		41

212		2212		92		0		120		120

212		251		109		7		96		103

213		2210		92		15		106		121

213		2169		79		0		134		134

213		2198		88		0		125		125

214		2309		155		21		38		59

214		77		43		2		169		171

214		261		125		6		83		89

215		2325		162		0		53		53

217		98		47		4		166		170

217		111		58		3		156		159

218		2412		214		0		4		4

218		2408		214		0		4		4

219		2411		214		0		5		5

220		409		214		0		6		6

220		387		200		0		20		20

221		408		214		0		7		7

223		2413		218		0		5		5

223		2250		109		0		114		114

223		214		92		5		126		131

224		2201		88		5		131		136

224		2414		218		0		6		6

225		2274		129		5		91		96

225		2425		221		0		4		4

226		198		88		5		133		138

226		218		94		5		127		132

226		221		94		5		127		132

227		2251		109		0		118		118

227		2376		189		0		38		38

229		2215		92		6		131		137

229		2238		107		11		111		122

229		2314		155		0		74		74

229		2336		170		0		59		59

229		2316		157		0		72		72

230		2308		155		21		54		75

231		2177		80		0		151		151

231		2214		92		0		139		139

231		2444		226		0		5		5

232		2257		118		0		114		114

232		2422		221		0		11		11

234		2247		109		15		110		125

234		2433		222		0		12		12

235		2312		155		0		80		80

237		2438		224		0		13		13

238		2183		83		4		151		155

238		2196		88		5		145		150

238		2440		224		0		14		14

238		2239		107		11		120		131

238		2443		226		0		12		12

239		2434		224		1		14		15

240		2439		224		0		16		16

240		2399		203		0		37		37

240		233		98		5		137		142

241		2240		107		5		129		134

241		2406		214		0		27		27

